CyberPhishGuard Quiz Results
""
User:,mane
Date:,2026-03-29 10:35:44
Score:,4/10
Percentage:,40.0%
""
Question Number,Question,Your Answer,Correct Answer,Status
""
1,What is phishing?,b,A fake attempt to steal personal data,CORRECT
2,Which password is the strongest?,b,P@ssW0rd#9,WRONG
3,What should you do with suspicious email links?,a,Ignore or report,WRONG
4,What does HTTPS stand for?,a,Hyper Text Transfer Protocol Secure,CORRECT
5,What is two-factor authentication (2FA)?,a,A security method requiring two forms of verification,WRONG
6,Which of these is a sign of a phishing email?,a,Urgent requests for personal information,WRONG
7,What should you do before downloading software?,a,Verify the source and scan for viruses,WRONG
8,What is malware?,b,Malicious software designed to harm your system,CORRECT
9,How often should you update your passwords?,b,Every few months or immediately if compromised,CORRECT
10,What is a VPN used for?,a,"To create a secure, encrypted connection",WRONG
""
Wrong Answers Details:
""
Question:,Which password is the strongest?
Your Answer:,b
Correct Answer:,P@ssW0rd#9
""
Question:,What should you do with suspicious email links?
Your Answer:,a
Correct Answer:,Ignore or report
""
Question:,What is two-factor authentication (2FA)?
Your Answer:,a
Correct Answer:,A security method requiring two forms of verification
""
Question:,Which of these is a sign of a phishing email?
Your Answer:,a
Correct Answer:,Urgent requests for personal information
""
Question:,What should you do before downloading software?
Your Answer:,a
Correct Answer:,Verify the source and scan for viruses
""
Question:,What is a VPN used for?
Your Answer:,a
Correct Answer:,"To create a secure, encrypted connection"
""
Summary:
Total Questions:,10
Correct Answers:,4
Wrong Answers:,6
Percentage:,40.0%
Achievement:,Keep Learning!
